condition,n,repairs,repair_rate,repairs_retained_from_full_targeted,full_targeted_repairs,finite_loss_n,mean_target_loss,median_target_rank,targeted_only,ablation_only,paired_success_p,loss_comparison_n,loss_vs_original_p,paired_success_holm_p
retain_0-0.5k,1103,1,0.0009066183136899365,0,64,1093,121.69759624373008,37.0,64,1,3.577867169202165e-18,1093,3.0299541289822296e-64,2.862293735361732e-17
retain_0.5-2k,1103,13,0.011786038077969175,5,64,1093,118.71763398640765,37.0,59,8,1.0167485039666578e-10,1093,1.0039236351012281e-104,7.117239527766605e-10
retain_2-4k,1103,32,0.02901178603807797,12,64,1093,117.46720442287658,40.0,52,20,0.00020771603022674048,1093,1.7780658176952684e-112,0.0012462961813604428
retain_4-8k,1103,47,0.04261106074342702,28,64,1093,114.29887731121094,42.0,36,19,0.030028945411892487,1093,2.98949521560903e-119,0.12011578164756995
remove_0-0.5k,1103,60,0.05439709882139619,60,64,1093,112.45925511729249,49.0,4,0,0.125,1093,4.777991418822833e-112,0.375
remove_0.5-2k,1103,64,0.05802357207615594,52,64,1093,112.95149632669433,45.0,12,12,1.0,1093,3.269526722600055e-114,1.0
remove_2-4k,1103,60,0.05439709882139619,45,64,1093,113.12481114281937,45.0,19,15,0.6075913612730801,1093,5.137961297071274e-120,1.0
remove_4-8k,1103,37,0.033544877606527655,18,64,1093,115.47742709956471,40.0,46,19,0.0010900838044475786,1093,3.022946815445782e-119,0.005450419022237893
