sample_id,speaker,utt_id,target_word,epsilon,steps,duration_sec,original_rms,perturbation_linf,perturbation_rms,snr_db,perturbation_spectral_centroid_hz,perturbation_spectral_rolloff85_hz,mean_absolute_log_spectral_change_db,p95_absolute_log_spectral_change_db,energy_fraction_0-0.5k,energy_fraction_0.5-2k,energy_fraction_2-4k,energy_fraction_4-8k
F03||test||100||no,F03,100,no,0.0002,3,1.6500625,0.0800217784561599,0.0002000033855438,0.0001172970098745,56.6784251587048,4455.35073506705,7312.5,0.9095366379136628,3.179222415043283,0.0246778416543389,0.1866212294525696,0.2428747171243123,0.5408043650550376
F03||test||100||sew,F03,100,sew,0.0002,3,1.57,0.024569942068817,0.0002000033855438,0.0001154455462448,46.5605389899881,4123.8741995222745,7015.625,1.878614753080716,9.224004737828352,0.0278004531230509,0.1737438460048385,0.3125768634936537,0.4807282112055951
F03||test||102||mike,F03,102,mike,0.0002,3,2.415,0.0509592914511624,0.0002000033855438,0.0001194613707636,52.59991774159359,4424.785061942894,7281.25,0.8928947895444213,3.045534608808849,0.0246566248605292,0.1830654735776262,0.2450217886358563,0.5419643240581896
F03||test||103||city,F03,103,city,0.0002,3,1.5150625,0.0977747784470397,0.0002000033855438,0.0001231401646966,57.99654220843657,4400.026599189514,7265.625,0.8563662365040996,2.8244811128449285,0.020602148084838,0.1828709114608294,0.2651039275799902,0.5262461191876572
F03||test||104||beat,F03,104,beat,0.0002,3,0.8511875,0.0217770439796899,0.0002000033855438,0.0001229835432585,44.96303853850377,4331.84276830129,7203.125,1.9957299542371971,7.418904340203588,0.0220788826730683,0.1742758407763172,0.2829634866429866,0.5168929565836936
F03||test||104||rock,F03,104,rock,0.0002,3,1.6400625,0.0360888574728053,0.0002000033855438,0.0001147152206412,49.95504176593411,5074.9096922467015,7453.125,2.162694788718124,12.603995570820931,0.0229538342347555,0.1000542018186521,0.2070598183683821,0.6660757985737085
F03||test||104||sitting,F03,104,sitting,0.0002,3,2.54,0.0849262150201487,0.0002000033855438,0.0001194696175033,57.03568591383018,4260.772621465851,7218.75,0.7874109558410686,2.441942363053167,0.0240026890526908,0.1917918540247358,0.2812921352124435,0.4976560681847058
F03||test||105||witty,F03,105,witty,0.0002,3,2.73,0.0847390805005717,0.0002000033855438,0.0001169132233704,57.20440225472274,4485.74955274879,7281.25,0.8066710888927877,2.599349629341032,0.0247026455618642,0.1898470106650164,0.2238816094234329,0.5554068769228934
F03||test||106||beat,F03,106,beat,0.0002,3,0.641875,0.0247148405626383,0.0002000033855438,0.0001143023411402,46.69805374867199,4657.157873423572,7375.0,1.8483459050277484,6.969512717825099,0.0251286481666242,0.1414579714976876,0.2418472729435155,0.58727457537346
F03||test||106||sign,F03,106,sign,0.0002,3,2.92,0.0599164519754301,0.0002000033855438,0.0001557817997375,51.70058742548324,4330.952529851642,7328.125,0.886092202023265,3.041511353487621,0.0213943809790462,0.2041388458317347,0.2672092648527622,0.5010476745681318
F03||test||106||zulu,F03,106,zulu,0.0002,3,1.69,0.0488837954010764,0.0002000033855438,0.0001205838683665,52.15751411357852,4347.7676466670455,7218.75,2.0178458267294617,10.26412746923778,0.0241168987520578,0.174930864127172,0.2763518832589781,0.5193202060660443
F03||test||108||best,F03,108,best,0.0002,3,1.635,0.0399802346426892,0.0002000033855438,0.0001223176944664,50.28712104138077,4384.5960946420055,7281.25,1.9228608487412155,9.910107677624808,0.0332276597956248,0.1727259579357585,0.2618022425971479,0.5256612347593843
F03||test||108||kitten,F03,108,kitten,0.0002,3,3.59,0.0769994749822858,0.0002000033855438,0.0001318701764105,55.32682353587673,4415.742497287072,7312.5,0.8066848061347962,2.4820702787031546,0.022456846242262,0.1866689204532983,0.2480676044228462,0.5352750297921955
F03||test||109||farm,F03,109,farm,0.0002,3,1.172125,0.0172141906291649,0.0002000033855438,0.0001149310434939,43.50898516402363,4930.537369391628,7453.125,1.915615076607739,7.576745948056608,0.0243881255979107,0.1017651052102849,0.2382290217353796,0.6318981465732676
F03||test||109||hark,F03,109,hark,0.0002,3,2.71,0.0580204079471279,0.0002000033855438,0.0001463035254087,51.96651973596474,4475.249534718518,7328.125,0.8923091079432427,3.0880952991513126,0.0206928100084146,0.1820845817475029,0.2472660672847819,0.5438908976647304
F03||test||10||form,F03,10,form,0.0002,3,1.4930625,0.0203991032743758,0.0002000033855438,0.0001206560828331,44.56123710132408,4911.4148217911,7437.5,2.1308635865255723,8.23934772061526,0.0208891894139254,0.1181745036155261,0.233005290713531,0.6229717569100585
F03||test||110||brawn,F03,110,brawn,0.0002,3,5.945,0.0721574931687934,0.0002000033855438,0.0001292625175634,54.936176535591066,4622.660405161199,7375.0,0.8345200836284964,2.682441404091945,0.0211360630607599,0.1710449908542241,0.2297336269156041,0.5722590143460358
F03||test||110||up,F03,110,up,0.0002,3,0.5860625,0.0302438295185971,0.0002000033855438,0.0001115067171338,48.66671502742783,5474.812811967556,7656.25,1.895356400621164,7.678674584077176,0.0235979726157074,0.0922981850665432,0.1431341247638765,0.7378442386981724
F03||test||111||shred,F03,111,shred,0.0002,3,1.38,0.0294478623872719,0.0002000033855438,0.0001292864819195,47.150013142727154,4456.504726041626,7265.625,2.1069536462573453,10.946686735592252,0.0262095898208011,0.177299462154267,0.2421229704880838,0.5497342079842322
F03||test||111||warm,F03,111,warm,0.0002,3,1.4511875,0.0225457803720726,0.0002000033855438,0.0001129103781406,46.00662820337195,5131.6758536187535,7546.875,2.060054405268857,7.909160974359537,0.0215138350062081,0.0955589749188464,0.2113317157613031,0.6680238691080984
F03||test||112||cash,F03,112,cash,0.0002,3,1.73,0.0234158383413268,0.0002000033855438,0.0001121060465455,46.39761347672548,4623.657835849152,7312.5,1.989729056230876,10.416683198464534,0.0300146731707741,0.1506384467314864,0.2282831171319301,0.586566855025391
F03||test||112||league,F03,112,league,0.0002,3,2.2550625,0.1906666766808883,0.0002000033855438,0.0001266932225488,63.55042827904803,4428.841264203623,7281.25,0.3944975424292239,0.5770382397800512,0.0274643100384411,0.1880488874623223,0.2329784056631645,0.5459012844860175
F03||test||112||left,F03,112,left,0.0002,3,1.102375,0.0234180482517983,0.0002000033855438,0.0001183794317642,45.925488910703045,4905.919262830936,7453.125,1.686980417018152,7.061475218210686,0.0233213161657012,0.1153996834457223,0.2277166931231524,0.6293323334386054
F03||test||113||five,F03,113,five,0.0002,3,1.865,0.1821565527138792,0.0002000033855438,0.0001196172964883,63.65301632354456,4492.462141938472,7343.75,0.402199703419459,0.5617722673780478,0.0255557006788199,0.1869805682625454,0.2284451829113511,0.5532231848678855
F03||test||114||eight,F03,114,eight,0.0002,3,1.635,0.1198085242843484,0.0002000033855438,0.0001128922247003,60.51647374725028,4563.2342085898445,7312.5,0.7251460216584433,2.203522114023021,0.0245984498101639,0.1707895963653802,0.2291226432125443,0.5702737864730185
F03||test||114||goat,F03,114,goat,0.0002,3,1.68,0.0329803548754269,0.0002000033855438,0.0001098520851554,49.548940390877696,4707.10910640529,7453.125,2.144445354358071,11.834211131568862,0.0261856379012202,0.1368451944581966,0.2363734315960345,0.5941450349914695
F03||test||114||knew,F03,114,knew,0.0002,3,1.248375,0.0228305290463173,0.0002000033855438,0.0001173167768949,45.78311705068592,4877.14423077328,7484.375,1.908212256362889,7.333757213694032,0.022284596950093,0.1217678244012272,0.2305136069638542,0.621235054967712
F03||test||115||liar,F03,115,liar,0.0002,3,1.735,0.1557593528960484,0.0002000033855438,0.0001078821205604,63.19009319517721,4910.377329701318,7437.5,0.7862531637929078,2.507476905410285,0.0246420724442104,0.1270453394129335,0.2075019607668435,0.6361634261937721
