experiment,split,n,raw_exact_accuracy,raw_wer,mapped_top1_accuracy,failed_inputs,failed_target_recall_at_3,failed_target_recall_at_5,failed_target_recall_at_10,mean_target_rank,median_target_rank
10-word,dev,24,0.5833333333333334,0.4583333333333333,0.875,3,0.6666666666666666,0.6666666666666666,1.0,1.5416666666666667,1.0
10-word,test,136,0.5220588235294118,0.6691176470588235,0.7132352941176471,39,0.5641025641025641,0.6666666666666666,1.0,1.9191176470588236,1.0
100-word,dev,144,0.4236111111111111,0.6527777777777778,0.4861111111111111,74,0.25675675675675674,0.32432432432432434,0.43243243243243246,13.430555555555555,2.0
100-word,test,880,0.36363636363636365,1.0170454545454546,0.48863636363636365,450,0.1622222222222222,0.23777777777777778,0.41333333333333333,13.277272727272727,2.0
30-word,dev,65,0.4153846153846154,0.6307692307692307,0.6153846153846154,25,0.2,0.44,0.64,4.7384615384615385,1.0
30-word,test,415,0.3349397590361446,0.763855421686747,0.5301204819277109,195,0.24615384615384617,0.38974358974358975,0.6205128205128205,5.313253012048193,1.0
50-word,dev,90,0.43333333333333335,0.6,0.5555555555555556,40,0.225,0.3,0.45,7.588888888888889,1.0
50-word,test,570,0.3649122807017544,0.9245614035087719,0.519298245614035,274,0.21897810218978103,0.30656934306569344,0.4708029197080292,8.082456140350876,1.0
Full lexicon,dev,270,0.5148148148148148,0.5407407407407407,0.5592592592592592,119,0.1092436974789916,0.19327731092436976,0.29411764705882354,34.925925925925924,1.0
Full lexicon,test,1844,0.37147505422993493,1.0688720173535793,0.43872017353579174,1035,0.11690821256038647,0.18647342995169083,0.263768115942029,41.63286334056399,3.0
