speaker,n,targeted_repairs,targeted_repair_rate,rank_improved,median_snr_db,random_trials,random_repairs,random_repair_rate
F03,193,95,0.49222797927461137,124,45.38223918673444,965,21,0.021761658031088083
M01,204,65,0.31862745098039214,112,53.45193076135297,1020,5,0.004901960784313725
M02,207,95,0.45893719806763283,141,52.96979199409564,1035,12,0.011594202898550725
M03,36,17,0.4722222222222222,18,54.80494651889095,180,0,0.0
M04,160,35,0.21875,73,56.12613208671951,800,0,0.0
M05,205,89,0.43414634146341463,120,51.579549347918174,1025,9,0.00878048780487805
