condition,operation,band,n,repairs_preserved,preservation_rate,preservation_ci_low,preservation_ci_high,raw_exact,mean_target_loss,median_target_rank,max_linf
retain_0-0.5k,retain,0-0.5k,354,9,0.025423728813559324,0.013432028462691398,0.04760466329648893,5,5.2216741701977405,27.0,0.0002000033855438
remove_0-0.5k,remove,0-0.5k,354,336,0.9491525423728814,0.9210640216917929,0.9675976807504116,288,3.8942664194915255,1.0,0.0002000033855438
retain_0.5-2k,retain,0.5-2k,354,90,0.2542372881355932,0.21168331333194515,0.30206783061477327,74,4.68948622881356,11.0,0.0002000033855438
remove_0.5-2k,remove,0.5-2k,354,247,0.6977401129943502,0.6479883378699589,0.7432463738970492,215,4.037048684675141,1.0,0.0002000033855438
retain_2-4k,retain,2-4k,354,127,0.3587570621468927,0.3105550087503282,0.40999162570180897,106,4.509903557556497,5.0,0.0002000033855438
remove_2-4k,remove,2-4k,354,229,0.6468926553672316,0.5957716049593064,0.6948598952104711,194,4.083956788488701,1.0,0.0002000033855438
retain_4-8k,retain,4-8k,354,115,0.3248587570621469,0.2781795314978415,0.3752982952228085,96,4.550935734463277,6.5,0.0002000033855438
remove_4-8k,remove,4-8k,354,232,0.655367231638418,0.6044305036295117,0.7029681984731375,201,4.123195842161017,1.0,0.0002000033855438
