sample_id,index,speaker,utt_id,target_word,mapped_correct,duration_sec,original_rms,perturbation_linf,perturbation_rms,snr_db,perturbation_spectral_centroid_hz,perturbation_spectral_rolloff85_hz,mean_absolute_log_spectral_change_db,p95_absolute_log_spectral_change_db,energy_fraction_0-0.5k,energy_fraction_0.5-2k,energy_fraction_2-4k,energy_fraction_4-8k
F03||59||rake,10,F03,59,rake,0,1.7860625,0.0203195666603126,0.0002000033855438,0.0001652069272507,41.79772376375189,4698.901317917977,7484.375,2.813208215189592,10.18191951611591,0.0223778495451423,0.1219381324289087,0.2657242224345837,0.5849917975975906
F03||62||rain,11,F03,62,rain,1,2.03725,0.0165509756846884,0.0002000033855438,0.0001630526564979,40.12991443612097,4298.597943591145,7234.375,2.773685610315153,9.711977436533468,0.0275201123935128,0.1408124029127266,0.3152613623921268,0.5114093768169714
F03||63||gadget,12,F03,63,gadget,1,1.814,0.0159883575559639,0.0002000033855438,0.0001618920644407,39.89156581690124,4478.667802955881,7468.75,2.708544389657267,9.88186604588214,0.0303787423312232,0.1146709573653245,0.3175931105000475,0.5330943249255335
F03||67||gnaw,13,F03,67,gnaw,0,0.8930625,0.0214546591658385,0.0002000033855438,0.0001606029241454,42.51536342534016,4476.62753974626,7500.0,2.7329312381692628,10.13009906424236,0.0254779371108737,0.1313416881148806,0.3159930124707777,0.5228448550269725
F03||68||range,14,F03,68,range,0,1.45125,0.0161015573087408,0.0002000033855438,0.0001644596494532,39.81617043777794,4832.295590814302,7656.25,2.5188820779258045,9.68080398811239,0.0223161302455138,0.1275456101570394,0.2561581420083431,0.5896201080497815
F03||69||down,15,F03,69,down,1,1.28375,0.0160356452692379,0.0002000033855438,0.0001619429942584,39.91448551097868,4674.854182474225,7578.125,2.6921271866629928,10.072470922340615,0.026453868854688,0.1174622957267681,0.2871338508824092,0.5648690495237116
F03||71||trait,16,F03,71,trait,0,1.3395625,0.01846011575569,0.0002000033855438,0.0001661339567192,40.91552022872983,4843.980880323457,7671.875,2.50255768593503,9.889670769529545,0.0267991831679256,0.1306243086064897,0.2391639676643138,0.5997530810783079
F03||73||knee,17,F03,73,knee,1,1.311625,0.0287806659393186,0.0002000033855438,0.0001619508224043,44.994353617201945,4353.695192874501,7546.875,2.4032462828055885,9.23533019762504,0.0221090368917996,0.1371408193913464,0.3571297157795807,0.4799127819345437
F03||74||dark,18,F03,74,dark,0,1.004625,0.0156749603046761,0.0002000033855438,0.0001660588596882,39.49888796720548,4506.954093978257,7328.125,2.6642879718604098,9.712444765991052,0.0248001144422907,0.121095665617791,0.2796133665061821,0.5693210387333755
F03||78||bit,19,F03,78,bit,1,0.893,0.0211547889721325,0.0002000033855438,0.0001629624937068,42.2664207131333,4502.685771226401,7531.25,2.678645815645813,9.939993389980438,0.0348820108826589,0.1389811554408584,0.280858693913006,0.5404310113835338
F03||81||torn,20,F03,81,torn,0,1.172125,0.0125273476275784,0.0002000033855438,0.0001618978010058,37.77236358202341,4335.01984836348,7437.5,2.670480633183874,9.644351544350872,0.0223494251033489,0.1194020657757061,0.3712639766377137,0.4815695097614834
F03||82||share,21,F03,82,share,1,0.865125,0.0209923713285358,0.0002000033855438,0.0001662198696551,42.02757124942373,4513.238523637919,7640.625,2.153462505203008,8.993131407914333,0.0330939050525681,0.1495126426125507,0.2748635849340842,0.5368477982449211
F03||87||storm,22,F03,87,storm,1,1.6465625,0.0160669659397719,0.0002000033855438,0.0001651753273242,39.75977393831167,4203.900199138765,7437.5,2.5321830763129816,9.285054559917072,0.0256807251488445,0.1815607233249342,0.3207565143031926,0.4668760770333075
F03||90||jagged,23,F03,90,jagged,1,1.28375,0.0209508500043289,0.0002000033855438,0.0001638083437926,42.13731256456074,4640.247882639172,7656.25,2.4733089592025297,9.617950161306936,0.0242061934878916,0.1396536671847001,0.2709595312922949,0.5608123548473787
F03||92||swore,24,F03,92,swore,1,1.5906875,0.0257854054164024,0.0002000033855438,0.0001652819280956,43.86297187232572,4314.192823353522,7281.25,2.488890538284134,9.283804419040589,0.024433838795036,0.115496256129032,0.3368272917331372,0.5172149161189127
F03||94||feet,25,F03,94,feet,0,0.6418125,0.0352583764712947,0.0002000033855438,0.000163540351886,46.67274765513107,4501.96293685783,7390.625,2.6154767130033725,9.697587732371144,0.025694107419782,0.1129719348896869,0.3017290047172472,0.5538774264246333
F03||102||the,26,F03,102,the,1,0.5441875,0.0315894879110425,0.0002000033855438,0.0001644914247477,45.66798646904925,4778.238015490925,7578.125,2.455531950398899,9.753111893852234,0.024768021343009,0.0996233926521203,0.2585243199737256,0.6138710818270404
F03||104||beat,27,F03,104,beat,1,0.8511875,0.0217770439796899,0.0002000033855438,0.0001645219552824,42.43550131807488,4059.9128154022537,7250.0,2.571653106152102,9.223519495842304,0.0291850736798635,0.1819867382507545,0.3389508159647123,0.4439696088173449
F03||106||beat,28,F03,106,beat,1,0.641875,0.0247148405626383,0.0002000033855438,0.0001640066593312,43.56192661253287,4272.730239612434,7406.25,2.5440695140203933,9.425841604708928,0.0268004680033694,0.1471211991233063,0.3596495010300184,0.4628935622652527
